Country,State (US) -province (CA) -Area WRLD,Type and operator,Field,County,Start date ,"Area, acres",No. Well prod.,No. Well inj.,Pay zone ,Formation,EOR type,EOR short,Porosity perc.,"Permeability, md","Depth, ft M21","Gravity, API","Oil, cp",Satur. perc. start,Satur. perc. end,"Oil, gradesF",Prev. Prod. ,Proj- matur. ,"tot. Prod., b-d","enh. Prod., b-d",Proj- eval. ,Profit,proj scope
GERMANY,Grafschaft Bentheim,Wintershall Holding AG ,"Emlichheim,",,2002,22,3,1,Valanginian,us,STEAM,STEAM,30,7650,2600,25,175,50,50,100,HW,HF,70,70,Succ.,Good,FW
GERMANY,Grafschaft Bentheim,Wintershall Holding AG ,"Emlichheim,",4,1999,58,9,1,Valanginian,us,STEAM,STEAM,30,7650,2600,25,175,50,50,100,WF,HF,450,450,Succ.,Good,FW
GERMANY,Grafschaft Bentheim,Wintershall Holding AG ,"Emlichheim,",,2008,37,5,1,Valanginian,s,STEAM,STEAM,30,7650,2600,25,175,50,50,100,,JS,530,530,TETT,Good,FW
GERMANY,Grafschaft Bentheim,Wintershall Holding AG ,"Emlichheim,",5f7,2011,295,20,3,Valanginian,s,STEAM,STEAM,30,7650,2600,25,175,50,50,100,,JS,450,450,Prom.,Good,FW
GERMANY,Grafschaft Bentheim,Wintershall Holding AG ,"Emlichheim,",,2011,150,12,2,Valanginian,s,STEAM,STEAM,30,7650,2600,25,175,50,50,100,,JS,,,,,
INDONESIA,Pekanbaru,PT Caltex,Duri,1185,1985,30878,2702,1068,Pertama-Kedua,us,STEAM,STEAM,34,1600,550,22,350,62,15,100,Prim.,NC,190000,190000,Succ.,Yes,FW
INDONESIA,Pekanbaru,PT Caltex,Duri,7f94,1994,27000,1093,532,Rindu,us,STEAM,STEAM,38,1600,350,22,350,60,15,100,Prim.,NC,,,Succ.,Yes,FW
NETHERLANDS,Drenthe,(NAM),Schoonebeek,43748,2010,1700,,,,,STEAM,STEAM,,,2625,25,,,,,,,,,,,
TRINIDAD,Parrylands,New Horizon ,Block E,E,2001,744,6,,Forest Sands,s,STEAM,STEAM,36,750,1025,17,5000,80,,97,Prim.,JS,100,,TETT,,LW
TRINIDAD,Forest Reserve,Petrotrin,Area 2102,2102,1976,58,6,2,Forest Sands,s,CO2 MISCIBLE,CO2,32,175,3000,19,16,56,,120,Prim.,HF,43,43,Succ.,Yes,Exp. L
TRINIDAD,Forest Reserve,Petrotrin,Area 2121,2121,1974,29,2,2,Forest Sands,s,CO2 MISCIBLE,CO2,30,150,2600,17,32,60,,120,Prim.,HF,,,Prom.,,Exp. L
TRINIDAD,Forest Reserve,Petrotrin,Area 2124,2124,1986,184,3,1,Forest Sands,s,CO2 MISCIBLE,CO2,31,300,4200,25,6,44,,130,WF,TS,78,78,Prom.,,Exp. L
TRINIDAD,Forest Reserve,Petrotrin,EOR 34-Cyclic,34-Cyclic,1984,NA,11,,Forest/MLE,s,CO2 MISCIBLE,CO2,29,150,2025,17,78,,,120,Prim.,HF,160,160,Prom.,Yes,
TRINIDAD,Oropouche,Petrotrin,Oropouche,"6,90",1990,175,4,3,Retrench,s,CO2 MISCIBLE,CO2,30,36,2400,29,5,53,48,120,Prim.,HF,32,32,Prom.,,p
TRINIDAD,Guapo,Petrotrin,Guapo,8(76,1976,400,80,12,CruseEand F,s,STEAM,STEAM,25,300,2400,11,5500,75,,100,Cyclic,HF,792,792,Succ.,Yes,RW
TRINIDAD,Point Fortin,Petrotrin,Cruse E,E,1986,66,17,7,Cruse E,s,STEAM,STEAM,31,95,1400,17,175,58,18,110,Prim.,HF,325,325,Prom.,,p
TRINIDAD,Point Fortin,Petrotrin,Parrylands,7181,1981,86,25,6,Forest,s,STEAM,STEAM,30,500,1100,11,5500,75,20,104,Prim.,HF,89,89,Succ.,Yes,RW
TRINIDAD,Point Fortin,Petrotrin,Cruse E,E,1995,300,72,27,Cruse E,s,STEAM,STEAM,29,265,2100,17,200,75,,110,Prim.,JS,141,141,Prom.,,RW
TRINIDAD,Forest Reserve,Petrotrin,Phase 1 Cyclic ,I,1976,58,8,,Forest Sands,s,STEAM,STEAM,31,205,1200,19,32,57,15,105,Prim.,NC,69,69,Disc.,No,RW
TRINIDAD,Forest Reserve,Petrotrin,Phase 1 West,I,1988,23,3,10,Forest Sands,s,STEAM,STEAM,30,430,1500,17,160,67,25,105,Prim.,JS,76,76,Disc.,No,RW
TRINIDAD,Forest Reserve,Petrotrin,Phase 1 East,I,1994,40,23,7,Forest Sands,s,STEAM,STEAM,30,270,1100,14,250,70,,110,Prim.,HF,158,158,Disc.,No,RW
TRINIDAD,Palo Seco,Petrotrin,Bennett Village ,Village,1986,39,26,5,Lower Morne,s,"Water(steam
scavenging)",HOT WATER,33,250,1000,21.6,18,73,45,103,s,NC,280,280,Succ.,Yes,Exp. UL.
TRINIDAD,Quarry,Petrotrin,Antilles Quarry,Quarry,1981,70,54,12,Lower Morne,s,"Water(steam
scavenging)",HOT WATER,29,250,2800,19.2,120,72,51,100,s,NC,330,330,Succ.,Yes,Exp. UL.
TRINIDAD,North Palo Seco,Petrotrin,North Palo Seco,,1975,300,127,30,Lower Morne,s,STEAM,STEAM,33,260,1200,15,500,71,35,100,c,NC,1132,1132,Succ.,Yes,Exp.  LW
TURKEY,Batman,TPAO,Bati Raman ,,1986,"12,890",212,69,Garzan,LS,CO2 INMISCIBLE,CO2,18,58,4265,13,592,78,,129,,NC,7000,7000,Succ.,Yes,FW
VENEZUELA,"Maturin, Campo Mulata",PDVSA,Carito Central,Carita,1996,12000,45,10,Naricual,s,HC MISCIBLE,HC MISCIBLE,14,505,13750,26.5,0.30,80,,290,Prim.,JS,150000,80000,Succ.,yes,FW
VENEZUELA,"Maturin, Campo Mulata",PDVSA,Carito Oeste,Carita,1997,9500,26,5,Naricual,s,HC MISCIBLE,HC MISCIBLE,15,505,13750,30,0.30,80,,290,Prim.,JS,80000,45000,Succ.,yes,FW
VENEZUELA,"Maturin, Campo Furrial",PDVSA,Furrial,Furrial,1998,36769,102,43,Naricual,s,HC MISCIBLE,HC MISCIBLE,15,600,13600,26,0.5,75,,290,WF,JS,410000,41000,Prom.,yes,FW
VENEZUELA,"Maturin, Campo Furrial",PDVSA,Furrial,"8,98",1998,43,1,1,Naricual,s,AGA,CO2,14,430,15440,24,0.5,36,,290,WF,JS,360,520,Prom.,yes,p
VENEZUELA,"Maturin, Campo Furrial",PDVSA,Furrial,1''/01,2001,634,1,1,Cretaceous ,s,SURFACTANT,CHEMICAL,12,45,14500,27,0.5,36,20,300,WF,JS,100,350,Prom.,Yes,p
VENEZUELA,"Maturin, Campo Orocual ",PDVSA,Orocual,36647,2000,22776,35,12,R,us,STEAM,STEAM,30,800,2600,12,563,72,,115,Prim.,JS,5500,2500,Prom.,Yes,RW(Exp. L)
VENEZUELA,Anzoategui,PDVSA,Bare,Bare,2010,1200,,,,,COMBUSTION,COMBUSTION,,,2650,9.8,,,,,,,,,,,
